name,genericName,aliases,category,manufacturer,dosage,uses,sideEffects,alternatives,barcode
Dolo 650,Paracetamol,Dolo|Dolo-650,Analgesic/Antipyretic,Micro Labs,650mg,Fever|Body pain,Nausea|Liver risk in overdose,Crocin 650|Calpol 650,
Crocin 650,Paracetamol,Crocin|Crocin Advance,Analgesic/Antipyretic,GSK,650mg,Fever|Headache,Nausea,Dolo 650|Calpol 650,
